Date,MEAN,SD,VARIANCE
2018-12-29,10.435,1.443,0.521
2018-12-30,8.182,1.443,0.521
2018-12-31,9.29,1.417,0.502
2019-01-01,9.664,1.491,0.556
2019-01-02,9.536,1.524,0.581
2019-01-03,9.29,1.349,0.455
2019-01-04,9.664,1.248,0.39
2019-01-05,8.834,0.994,0.247
2019-01-06,10.213,0.791,0.156
2019-01-07,10.213,0.907,0.206
2019-01-08,8.521,1.191,0.355
2019-01-09,8.78,1.28,0.41
2019-01-10,9.231,1.283,0.411
2019-01-11,9.73,1.293,0.418
2019-01-12,10.435,1.401,0.491
2019-01-13,10.511,1.49,0.555
2019-01-14,9.664,1.415,0.501
2019-01-15,10.909,1.407,0.495
2019-01-16,10.827,1.194,0.356
2019-01-17,11.339,1.14,0.325
2019-01-18,10.435,0.965,0.233
2019-01-19,10.827,0.968,0.234
2019-01-20,9.172,1.421,0.505
2019-01-21,9.6,1.442,0.52
2019-01-22,11.077,1.478,0.546
2019-01-23,9.863,1.498,0.561
2019-01-24,8.889,1.536,0.59
2019-01-25,10.435,1.536,0.59
2019-01-26,9.6,1.382,0.477
2019-01-27,10.511,1.349,0.455
2019-01-28,9.931,1.312,0.431
2019-01-29,9.863,1.005,0.253
2019-01-30,10.588,1.124,0.316
2019-01-31,9.29,0.919,0.211
2019-02-01,9.114,1.044,0.272
2019-02-02,10,1.028,0.264
2019-02-03,10.435,1.003,0.252
2019-02-04,9.796,1.004,0.252
2019-02-05,9.796,1.006,0.253
2019-02-06,8.78,1.052,0.277
2019-02-07,8.276,1.404,0.493
2019-02-08,8.834,1.456,0.53
2019-02-09,9.6,1.39,0.483
2019-02-10,10.286,1.326,0.44
2019-02-11,9.931,1.356,0.46
2019-02-12,11.25,1.898,0.901
2019-02-13,9.412,1.798,0.808
2019-02-14,10.213,1.42,0.504
2019-02-15,11.339,1.395,0.486
2019-02-16,9.6,1.395,0.486
2019-02-17,9.057,1.64,0.673
2019-02-18,9.29,1.74,0.757
2019-02-19,9.231,1.48,0.548
2019-02-20,11.077,1.713,0.734
2019-02-21,12.101,2.28,1.3
2019-02-22,8.944,2.238,1.252
2019-02-23,10.07,2.226,1.239
2019-02-24,10.511,2.116,1.119
2019-02-25,10.07,1.997,0.997
2019-02-26,8.944,2.091,1.093
2019-02-27,10.213,1.979,0.979
2019-02-28,9.6,1.151,0.331
2019-03-01,8.889,1.174,0.344
2019-03-02,10.909,1.422,0.506
2019-03-03,9.863,1.326,0.44
2019-03-04,10.511,1.414,0.5
2019-03-05,9.664,1.229,0.377
2019-03-06,11.25,1.532,0.587
2019-03-07,10.141,1.478,0.546
2019-03-08,9.863,1.103,0.304
2019-03-09,10.435,1.002,0.251
2019-03-10,10.588,0.971,0.236
2019-03-11,10.141,0.971,0.236
2019-03-12,10.07,0.854,0.182
2019-03-13,10.667,0.548,0.075
2019-03-14,9.29,0.884,0.195
2019-03-15,9.412,1.015,0.257
2019-03-16,8.834,1.283,0.412
2019-03-17,9.863,1.139,0.325
2019-03-18,8.944,1.213,0.368
2019-03-19,8.276,1.431,0.512
2019-03-20,8.944,0.929,0.216
2019-03-21,10.07,1.161,0.337
2019-03-22,8.944,1.157,0.334
2019-03-23,9.931,1.25,0.391
2019-03-24,9.6,1.192,0.355
2019-03-25,9.73,1.206,0.364
2019-03-26,10.746,1.18,0.348
2019-03-27,9.664,1.009,0.254
2019-03-28,9.863,0.989,0.244
2019-03-29,9.796,0.719,0.129
2019-03-30,10.36,0.787,0.155
2019-03-31,10.36,0.765,0.146
2019-04-01,10.588,0.78,0.152
2019-04-02,9.172,0.913,0.208
2019-04-03,10.141,0.881,0.194
2019-04-04,10.286,0.883,0.195
2019-04-05,9.114,1.115,0.311
2019-04-06,10.36,1.115,0.311
2019-04-07,10.213,1.093,0.299
2019-04-08,9.73,0.98,0.24
2019-04-09,10.909,1.036,0.269
2019-04-10,9.73,1.068,0.285
2019-04-11,9.172,1.203,0.362
2019-04-12,9.536,1.077,0.29
2019-04-13,10.667,1.162,0.338
2019-04-14,11.803,1.728,0.747
2019-04-15,9.931,1.701,0.723
2019-04-16,9.931,1.62,0.656
2019-04-17,10.435,1.601,0.641
2019-04-18,9.664,1.448,0.524
2019-04-19,9.474,1.467,0.538
2019-04-20,10.992,1.533,0.588
2019-04-21,8.889,1.251,0.392
2019-04-22,10.746,1.385,0.48
2019-04-23,12.414,2.165,1.172
2019-04-24,8.834,2.415,1.458
2019-04-25,10.07,2.385,1.422
2019-04-26,9.536,2.375,1.41
2019-04-27,10.511,2.307,1.331
2019-04-28,8.834,2.324,1.351
2019-04-29,8.834,2.42,1.464
2019-04-30,10.286,1.367,0.467
2019-05-01,8.421,1.515,0.574
2019-05-02,7.826,1.816,0.824
2019-05-03,9.474,1.809,0.818
2019-05-04,10.909,1.99,0.99
2019-05-05,11.163,2.361,1.393
2019-05-06,9.536,2.288,1.308
2019-05-07,11.339,2.555,1.633
2019-05-08,9.474,2.324,1.351
2019-05-09,9.6,1.618,0.654
2019-05-10,11.52,1.714,0.735
2019-05-11,11.077,1.741,0.757
2019-05-12,9.114,1.898,0.901
2019-05-13,8.623,2.178,1.186
2019-05-14,9.474,1.955,0.955
2019-05-15,9.664,1.939,0.94
2019-05-16,9.863,1.927,0.928
2019-05-17,9.536,1.407,0.495
2019-05-18,9.412,0.753,0.142
2019-05-19,8.834,0.832,0.173
2019-05-20,8.944,0.691,0.119
2019-05-21,9.412,0.688,0.118
2019-05-22,8.623,0.817,0.167
2019-05-23,9.114,0.634,0.1
2019-05-24,9.412,0.592,0.088
2019-05-25,10.286,1.014,0.257
2019-05-26,8.727,1.041,0.271
2019-05-27,8.623,1.111,0.309
2019-05-28,8.78,1.121,0.314
2019-05-29,8.276,1.223,0.374
2019-05-30,9,1.221,0.373
2019-05-31,12.308,2.629,1.728
2019-06-01,9.536,2.54,1.613
2019-06-02,10.992,2.726,1.857
2019-06-03,12.101,3.048,2.322
2019-06-04,9.351,2.926,2.141
2019-06-05,9,2.685,1.802
2019-06-06,9.172,2.638,1.74
2019-06-07,9.114,2.195,1.204
2019-06-08,11.613,2.465,1.519
2019-06-09,9.796,2.384,1.421
2019-06-10,9.172,1.71,0.731
2019-06-11,10.07,1.723,0.742
2019-06-12,10.992,1.819,0.827
2019-06-13,9.536,1.741,0.758
2019-06-14,8.521,1.958,0.958
2019-06-15,9.863,1.422,0.506
2019-06-16,11.077,1.719,0.739
2019-06-17,10.827,1.714,0.735
2019-06-18,8.834,1.941,0.942
2019-06-19,8.136,2.088,1.09
2019-06-20,10,2.113,1.116
2019-06-21,10.827,2.05,1.051
2019-06-22,10.213,2.057,1.058
2019-06-23,7.956,2.262,1.28
2019-06-24,8.136,2.171,1.178
2019-06-25,9.863,2.203,1.213
2019-06-26,8.727,2.057,1.058